Event,Description,Benchmark,Estimation Window,Event Window,CAR,T-Stat,Sig
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,static_2024,"[-1,+3]",-5.20%,-1.27, 
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,static_2024,"[-1,+5]",-0.87%,-0.18, 
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,static_2024,"[-5,+10]",-3.70%,-0.51, 
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,rolling_250d,"[-1,+3]",-7.72%,-2.0,**
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,rolling_250d,"[-1,+5]",-1.70%,-0.37, 
2025-04-02,Liberation Day reciprocal tariffs announced,ITA,rolling_250d,"[-5,+10]",-6.06%,-0.88, 
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,static_2024,"[-1,+3]",-11.84%,-2.53,**
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,static_2024,"[-1,+5]",-0.66%,-0.12, 
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,static_2024,"[-5,+10]",-4.36%,-0.52, 
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,rolling_250d,"[-1,+3]",-11.48%,-2.7,***
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,rolling_250d,"[-1,+5]",-1.09%,-0.22, 
2025-04-02,Liberation Day reciprocal tariffs announced,^GSPC,rolling_250d,"[-5,+10]",-5.14%,-0.68, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,static_2024,"[-1,+3]",3.19%,0.78, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,static_2024,"[-1,+5]",2.75%,0.57, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,static_2024,"[-5,+10]",10.24%,1.4, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,rolling_250d,"[-1,+3]",4.71%,1.21, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,rolling_250d,"[-1,+5]",3.95%,0.86, 
2025-04-09,Tariffs on Chinese goods raised to 145%,ITA,rolling_250d,"[-5,+10]",8.81%,1.27, 
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,static_2024,"[-1,+3]",11.42%,2.44,**
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,static_2024,"[-1,+5]",11.62%,2.1,**
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,static_2024,"[-5,+10]",11.77%,1.41, 
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,rolling_250d,"[-1,+3]",10.20%,2.39,**
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,rolling_250d,"[-1,+5]",10.48%,2.08,**
2025-04-09,Tariffs on Chinese goods raised to 145%,^GSPC,rolling_250d,"[-5,+10]",10.52%,1.38, 
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,static_2024,"[-1,+3]",4.70%,1.15, 
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,static_2024,"[-1,+5]",10.16%,2.1,**
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,static_2024,"[-5,+10]",15.06%,2.06,**
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,rolling_250d,"[-1,+3]",4.00%,1.03, 
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,rolling_250d,"[-1,+5]",9.82%,2.13,**
2025-04-15,China delivery ban & 125% retaliatory tariff,ITA,rolling_250d,"[-5,+10]",16.81%,2.41,**
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,static_2024,"[-1,+3]",5.12%,1.09, 
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,static_2024,"[-1,+5]",10.81%,1.95,*
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,static_2024,"[-5,+10]",25.75%,3.08,***
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,rolling_250d,"[-1,+3]",5.15%,1.21, 
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,rolling_250d,"[-1,+5]",10.17%,2.02,**
2025-04-15,China delivery ban & 125% retaliatory tariff,^GSPC,rolling_250d,"[-5,+10]",23.18%,3.05,***
